commonName,latinName,family,order
House Wren,Troglodytes aedon,Troglodytidae,Passeriformes
Pacific Wren,Troglodytes pacificus,Troglodytidae,Passeriformes
Winter Wren,Troglodytes hiemalis A,Troglodytidae,Passeriformes
Sedge Wren,Cistothorus platensis A,Troglodytidae,Passeriformes
Marsh Wren,Cistothorus palustris,Troglodytidae,Passeriformes
Bewick's Wren,Thryomanes bewickii,Troglodytidae,Passeriformes
Cactus Wren,Campylorhynchus brunneicapillus,Troglodytidae,Passeriformes
Blue-gray Gnatcatcher,Polioptila caerulea,Polioptilidae,Passeriformes
California Gnatcatcher,Polioptila californica,Polioptilidae,Passeriformes
Black-tailed Gnatcatcher,Polioptila melanura,Polioptilidae,Passeriformes
American Dipper,Cinclus mexicanus,Cinclidae,Passeriformes
Red-whiskered Bulbul,Pycnonotus jocosus ,Pycnonotidae,Passeriformes
Golden-crowned Kinglet,Regulus satrapa,Regulidae,Passeriformes
Ruby-crowned Kinglet,Regulus calendula,Regulidae,Passeriformes
Yellow-browed Warbler,Phylloscopus inornatus ,Phylloscopidae,Passeriformes
Dusky Warbler,Phylloscopus fuscatus ,Phylloscopidae,Passeriformes
Arctic/Kamchatka Leaf Warbler,Phylloscopus borealis/examinandus ,Phylloscopidae,Passeriformes
Wrentit,Chamaea fasciata,Sylviidae,Passeriformes
Lanceolated Warbler,Locustella lanceolata ,Locustellidae,Passeriformes
Bluethroat,Cyanecula svecica ,Muscicapidae,Passeriformes
Red-flanked Bluetail,Tarsiger cyanurus ,Muscicapidae,Passeriformes
Taiga Flycatcher,Ficedula albicilla ,Muscicapidae,Passeriformes
Stonechat,Saxicola torquatus ,Muscicapidae,Passeriformes
Northern Wheatear,Oenanthe oenanthe ,Muscicapidae,Passeriformes
Western Bluebird,Sialia mexicana,Turdidae,Passeriformes
Mountain Bluebird,Sialia currucoides,Turdidae,Passeriformes
Townsend's Solitaire,Myadestes townsendi,Turdidae,Passeriformes
Veery,Catharus fuscescens A,Turdidae,Passeriformes
Gray-cheeked Thrush,Catharus minimus ,Turdidae,Passeriformes
Swainson's Thrush,Catharus ustulatus,Turdidae,Passeriformes
Hermit Thrush,Catharus guttatus,Turdidae,Passeriformes
Wood Thrush,Hylocichla mustelina ,Turdidae,Passeriformes
Eyebrowed Thrush,Turdus obscurus V,Turdidae,Passeriformes
Rufous-backed Robin,Turdus rufopalliatus ,Turdidae,Passeriformes
American Robin,Turdus migratorius,Turdidae,Passeriformes
Varied Thrush,Ixoreus naevius,Turdidae,Passeriformes
Gray Catbird,Dumetella carolinensis,Mimidae,Passeriformes
Curve-billed Thrasher,Toxostoma curvirostre ,Mimidae,Passeriformes
Brown Thrasher,Toxostoma rufum,Mimidae,Passeriformes
Bendire's Thrasher,Toxostoma bendirei,Mimidae,Passeriformes
California Thrasher,Toxostoma redivivum,Mimidae,Passeriformes
LeConte's Thrasher,Toxostoma lecontei,Mimidae,Passeriformes
Crissal Thrasher,Toxostoma crissale,Mimidae,Passeriformes
Sage Thrasher,Oreoscoptes montanus,Mimidae,Passeriformes
Northern Mockingbird,Mimus polyglottos,Mimidae,Passeriformes
European Starling,Sturnus vulgaris ,Sturnidae,Passeriformes
Bohemian Waxwing,Bombycilla garrulus,Bombycillidae,Passeriformes
Cedar Waxwing,Bombycilla cedrorum,Bombycillidae,Passeriformes
Phainopepla,Phainopepla nitens,Ptiliogonatidae,Passeriformes
Scaly-breasted Munia,Lonchura punctulata ,Estrildidae,Passeriformes
House Sparrow,Passer domesticus ,Passeridae,Passeriformes
Eastern Yellow Wagtail,Motacilla tschutschensis A,Motacillidae,Passeriformes
Citrine Wagtail,Motacilla citreola ,Motacillidae,Passeriformes
Gray Wagtail,Motacilla cinerea ,Motacillidae,Passeriformes
White Wagtail,Motacilla alba ,Motacillidae,Passeriformes
Olive-backed Pipit,Anthus hodgsoni ,Motacillidae,Passeriformes
Red-throated Pipit,Anthus cervinus,Motacillidae,Passeriformes
American Pipit,Anthus rubescens,Motacillidae,Passeriformes
Sprague's Pipit,Anthus spragueii,Motacillidae,Passeriformes
Brambling,Fringilla montifringilla V,Fringillidae,Passeriformes
Evening Grosbeak,Coccothraustes vespertinus,Fringillidae,Passeriformes
Common Rosefinch,Carpodacus erythrinus ,Fringillidae,Passeriformes
Pine Grosbeak,Pinicola enucleator,Fringillidae,Passeriformes
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,Fringillidae,Passeriformes
Black Rosy-Finch,Leucosticte atrata ,Fringillidae,Passeriformes
House Finch,Haemorhous mexicanus,Fringillidae,Passeriformes
Purple Finch,Haemorhous purpureus,Fringillidae,Passeriformes
Cassin's Finch,Haemorhous cassinii,Fringillidae,Passeriformes
Oriental Greenfinch,Chloris sinica ,Fringillidae,Passeriformes
Common Redpoll,Acanthis flammea ,Fringillidae,Passeriformes
Red Crossbill,Loxia curvirostra,Fringillidae,Passeriformes
White-winged Crossbill,Loxia leucoptera ,Fringillidae,Passeriformes
Pine Siskin,Spinus pinus,Fringillidae,Passeriformes
Lesser Goldfinch,Spinus psaltria,Fringillidae,Passeriformes
Lawrence's Goldfinch,Spinus lawrencei,Fringillidae,Passeriformes
American Goldfinch,Spinus tristis,Fringillidae,Passeriformes
Lapland Longspur,Calcarius lapponicus,Calcariidae,Passeriformes
Chestnut-collared Longspur,Calcarius ornatus,Calcariidae,Passeriformes
Smith's Longspur,Calcarius pictus V,Calcariidae,Passeriformes
McCown's Longspur,Rhynchophanes mccownii,Calcariidae,Passeriformes
Snow Bunting,Plectrophenax nivalis ,Calcariidae,Passeriformes
Little Bunting,Emberiza pusilla ,Emberizidae,Passeriformes
Rustic Bunting,Emberiza rustica ,Emberizidae,Passeriformes
Cassin's Sparrow,Peucaea cassinii ,Passerellidae,Passeriformes
Grasshopper Sparrow,Ammodramus savannarum,Passerellidae,Passeriformes
Black-throated Sparrow,Amphispiza bilineata,Passerellidae,Passeriformes
Lark Sparrow,Chondestes grammacus,Passerellidae,Passeriformes
Lark Bunting,Calamospiza melanocorys,Passerellidae,Passeriformes
Chipping Sparrow,Spizella passerina,Passerellidae,Passeriformes
Clay-colored Sparrow,Spizella pallida,Passerellidae,Passeriformes
Black-chinned Sparrow,Spizella atrogularis,Passerellidae,Passeriformes
Field Sparrow,Spizella pusilla ,Passerellidae,Passeriformes
Brewer's Sparrow,Spizella breweri,Passerellidae,Passeriformes
Fox Sparrow,Passerella iliaca,Passerellidae,Passeriformes
American Tree Sparrow,Spizelloides arborea,Passerellidae,Passeriformes
Dark-eyed Junco,Junco hyemalis,Passerellidae,Passeriformes
White-crowned Sparrow,Zonotrichia leucophrys,Passerellidae,Passeriformes
Golden-crowned Sparrow,Zonotrichia atricapilla,Passerellidae,Passeriformes
Harris's Sparrow,Zonotrichia querula,Passerellidae,Passeriformes
White-throated Sparrow,Zonotrichia albicollis,Passerellidae,Passeriformes
Sagebrush Sparrow,Artemisiospiza nevadensis,Passerellidae,Passeriformes
Bell's Sparrow,Artemisiospiza belli,Passerellidae,Passeriformes
Vesper Sparrow,Pooecetes gramineus,Passerellidae,Passeriformes
LeConte's Sparrow,Ammospiza leconteii ,Passerellidae,Passeriformes
Nelson's Sparrow,Ammospiza nelsoni,Passerellidae,Passeriformes
Baird's Sparrow,Centronyx bairdii ,Passerellidae,Passeriformes
Savannah Sparrow,Passerculus sandwichensis,Passerellidae,Passeriformes
Song Sparrow,Melospiza melodia,Passerellidae,Passeriformes
Lincoln's Sparrow,Melospiza lincolnii,Passerellidae,Passeriformes
Swamp Sparrow,Melospiza georgiana,Passerellidae,Passeriformes
Abert's Towhee,Melozone aberti,Passerellidae,Passeriformes
California Towhee,Melozone crissalis,Passerellidae,Passeriformes
Rufous-crowned Sparrow,Aimophila ruficeps,Passerellidae,Passeriformes
Green-tailed Towhee,Pipilo chlorurus,Passerellidae,Passeriformes
Spotted Towhee,Pipilo maculatus,Passerellidae,Passeriformes
Yellow-breasted Chat,Icteria virens,Icteriidae,Passeriformes
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Icteridae,Passeriformes
Bobolink,Dolichonyx oryzivorus,Icteridae,Passeriformes
Eastern Meadowlark,Sturnella magna A,Icteridae,Passeriformes
Western Meadowlark,Sturnella neglecta,Icteridae,Passeriformes
Orchard Oriole,Icterus spurius,Icteridae,Passeriformes
Hooded Oriole,Icterus cucullatus,Icteridae,Passeriformes
Streak-backed Oriole,Icterus pustulatus ,Icteridae,Passeriformes
Bullock's Oriole,Icterus bullockii,Icteridae,Passeriformes
Baltimore Oriole,Icterus galbula,Icteridae,Passeriformes
Scott's Oriole,Icterus parisorum,Icteridae,Passeriformes
Red-winged Blackbird,Agelaius phoeniceus,Icteridae,Passeriformes
Tricolored Blackbird,Agelaius tricolor,Icteridae,Passeriformes
Bronzed Cowbird,Molothrus aeneus,Icteridae,Passeriformes
Brown-headed Cowbird,Molothrus ater,Icteridae,Passeriformes
Rusty Blackbird,Euphagus carolinus,Icteridae,Passeriformes
Brewer's Blackbird,Euphagus cyanocephalus,Icteridae,Passeriformes
Common Grackle,Quiscalus quiscula ,Icteridae,Passeriformes
Great-tailed Grackle,Quiscalus mexicanus,Icteridae,Passeriformes
Ovenbird,Seiurus aurocapilla,Parulidae,Passeriformes
Worm-eating Warbler,Helmitheros vermivorum ,Parulidae,Passeriformes
Louisiana Waterthrush,Parkesia motacilla ,Parulidae,Passeriformes
Northern Waterthrush,Parkesia noveboracensis,Parulidae,Passeriformes
Golden-winged Warbler,Vermivora chrysoptera ,Parulidae,Passeriformes
Blue-winged Warbler,Vermivora cyanoptera ,Parulidae,Passeriformes
Black-and-white Warbler,Mniotilta varia,Parulidae,Passeriformes
Prothonotary Warbler,Protonotaria citrea,Parulidae,Passeriformes
Tennessee Warbler,Leiothlypis peregrina,Parulidae,Passeriformes
Orange-crowned Warbler,Leiothlypis celata,Parulidae,Passeriformes
Lucy's Warbler,Leiothlypis luciae,Parulidae,Passeriformes
Nashville Warbler,Leiothlypis ruficapilla,Parulidae,Passeriformes
Virginia's Warbler,Leiothlypis virginiae,Parulidae,Passeriformes
Connecticut Warbler,Oporornis agilis ,Parulidae,Passeriformes
MacGillivray's Warbler,Geothlypis tolmiei,Parulidae,Passeriformes
Mourning Warbler,Geothlypis philadelphia ,Parulidae,Passeriformes
Kentucky Warbler,Geothlypis formosa ,Parulidae,Passeriformes
Common Yellowthroat,Geothlypis trichas,Parulidae,Passeriformes
Hooded Warbler,Setophaga citrina,Parulidae,Passeriformes
American Redstart,Setophaga ruticilla,Parulidae,Passeriformes
Cape May Warbler,Setophaga tigrina ,Parulidae,Passeriformes
Cerulean Warbler,Setophaga cerulea ,Parulidae,Passeriformes
Northern Parula,Setophaga americana,Parulidae,Passeriformes
Tropical Parula,Setophaga pitiayumi V,Parulidae,Passeriformes
Magnolia Warbler,Setophaga magnolia,Parulidae,Passeriformes
Bay-breasted Warbler,Setophaga castanea,Parulidae,Passeriformes
Blackburnian Warbler,Setophaga fusca,Parulidae,Passeriformes
Yellow Warbler,Setophaga petechia,Parulidae,Passeriformes
Chestnut-sided Warbler,Setophaga pensylvanica,Parulidae,Passeriformes
Blackpoll Warbler,Setophaga striata,Parulidae,Passeriformes
Black-throated Blue Warbler,Setophaga caerulescens,Parulidae,Passeriformes
Palm Warbler,Setophaga palmarum,Parulidae,Passeriformes
Pine Warbler,Setophaga pinus,Parulidae,Passeriformes
Yellow-rumped Warbler,Setophaga coronata,Parulidae,Passeriformes
Yellow-throated Warbler,Setophaga dominica,Parulidae,Passeriformes
Prairie Warbler,Setophaga discolor,Parulidae,Passeriformes
Grace's Warbler,Setophaga graciae ,Parulidae,Passeriformes
Black-throated Gray Warbler,Setophaga nigrescens,Parulidae,Passeriformes
Townsend's Warbler,Setophaga townsendi,Parulidae,Passeriformes
Hermit Warbler,Setophaga occidentalis,Parulidae,Passeriformes
Golden-cheeked Warbler,Setophaga chrysoparia ,Parulidae,Passeriformes
Black-throated Green Warbler,Setophaga virens,Parulidae,Passeriformes
Canada Warbler,Cardellina canadensis,Parulidae,Passeriformes
Wilson's Warbler,Cardellina pusilla,Parulidae,Passeriformes
Red-faced Warbler,Cardellina rubrifrons ,Parulidae,Passeriformes
Painted Redstart,Myioborus pictus,Parulidae,Passeriformes
Hepatic Tanager,Piranga flava,Cardinalidae,Passeriformes
Summer Tanager,Piranga rubra,Cardinalidae,Passeriformes
Scarlet Tanager,Piranga olivacea,Cardinalidae,Passeriformes
Western Tanager,Piranga ludoviciana,Cardinalidae,Passeriformes
Northern Cardinal,Cardinalis cardinalis,Cardinalidae,Passeriformes
Pyrrhuloxia,Cardinalis sinuatus ,Cardinalidae,Passeriformes
Rose-breasted Grosbeak,Pheucticus ludovicianus,Cardinalidae,Passeriformes
Black-headed Grosbeak,Pheucticus melanocephalus,Cardinalidae,Passeriformes
Blue Grosbeak,Passerina caerulea,Cardinalidae,Passeriformes
Lazuli Bunting,Passerina amoena,Cardinalidae,Passeriformes
Indigo Bunting,Passerina cyanea,Cardinalidae,Passeriformes
Varied Bunting,Passerina versicolor ,Cardinalidae,Passeriformes
Painted Bunting,Passerina ciris,Cardinalidae,Passeriformes
Dickcissel,Spiza americana,Cardinalidae,Passeriformes
